,personal,household,care_hh,care_nonhh,work_act,education_act,consume,prof_care,household_service,government,eating,leisure,sports,religious,volunteer,telephone,travel,sleep,work_per_week,wage,year,education,sex,metropolitan,age,partner,child_num
7,525,0,0,0,495,0,0,0,0,0,15,315,0,0,0,30,60,0.0,40,8.3125,2003,40,2,-1,21,3,1
9,255,140,80,2,266,0,0,0,0,0,15,507,0,0,0,0,175,0.0,40,11.25,2003,41,2,-1,39,1,4
10,575,0,0,0,669,0,0,0,0,0,15,120,0,0,0,0,61,0.0,57,11.4035087719,2003,40,1,-1,26,1,1
14,615,58,64,0,465,0,0,0,0,0,50,113,0,0,0,0,75,0.0,35,2.74714285714,2003,43,2,-1,32,1,1
15,660,390,105,0,45,0,0,0,0,0,60,180,0,0,0,0,0,0.0,51,14.517254902,2003,44,2,-1,45,1,2
17,580,45,0,15,65,0,0,0,0,0,70,0,0,0,545,0,120,0.0,57,7.01754385965,2003,44,2,-1,28,3,0
22,525,0,0,0,657,0,20,0,0,0,55,120,0,0,0,0,63,0.0,50,9.0,2003,39,1,-1,23,2,0
24,543,34,51,0,469,0,1,59,0,0,65,131,0,0,0,0,87,0.0,40,14.4,2003,39,2,-1,25,3,1
29,590,60,0,0,540,0,15,0,0,0,0,30,60,0,0,0,145,0.0,45,64.1024444444,2003,43,1,-1,27,3,0
31,585,65,60,0,410,0,0,0,0,0,50,240,0,0,0,0,30,0.0,40,6.25,2003,40,2,-1,42,3,2
32,885,0,120,0,135,0,0,0,0,0,15,255,0,0,0,0,30,0.0,55,38.4614545455,2003,43,1,-1,46,1,1
36,515,0,0,0,515,0,50,5,0,0,45,208,0,0,0,0,102,0.0,40,22.0,2003,37,1,-1,39,3,1
37,485,25,0,0,260,80,55,0,0,0,40,355,0,0,0,0,140,0.0,47,20.0,2003,42,2,-1,43,3,0
38,450,109,51,0,490,0,15,0,0,0,40,155,0,0,0,15,85,0.0,50,23.0768,2003,43,1,-1,37,1,2
39,450,240,0,210,90,0,45,0,0,0,45,210,0,0,0,0,150,0.0,40,10.0,2003,40,1,-1,45,3,0
41,523,23,0,0,480,0,0,0,0,0,40,260,0,0,0,0,95,0.0,40,10.0,2003,43,1,-1,47,1,0
53,615,20,0,0,465,0,0,0,0,0,80,170,0,0,0,0,40,0.0,40,21.0,2003,40,1,-1,47,3,0
58,470,70,115,0,610,0,0,0,0,0,40,75,20,0,0,0,40,0.0,40,14.9,2003,43,2,-1,34,1,2
60,460,125,55,10,491,0,100,0,0,0,25,50,0,0,0,0,124,0.0,40,7.75,2003,39,2,-1,46,1,1
63,385,0,60,0,840,0,25,0,0,0,0,20,0,0,0,0,110,0.0,60,48.0768333333,2003,43,1,-1,45,1,2
65,465,60,0,0,605,0,5,0,0,0,50,180,0,0,0,0,75,0.0,40,9.075,2003,43,1,-1,54,1,0
75,480,11,0,0,575,0,0,0,0,0,90,184,0,0,0,0,100,0.0,45,19.658,2003,42,1,-1,52,1,0
80,585,15,15,0,515,0,0,0,0,0,30,260,0,0,0,0,20,0.0,40,23.0,2003,40,1,-1,46,1,2
83,495,0,0,0,465,0,0,0,0,0,120,193,0,0,0,60,107,0.0,40,23.5575,2003,45,1,-1,42,3,0
85,400,0,0,5,590,0,0,0,0,0,30,0,225,0,0,0,190,0.0,50,30.7692,2003,39,1,-1,39,1,3
87,457,119,368,10,285,0,20,0,0,0,55,10,0,0,7,30,74,0.0,40,10.096,2003,43,2,-1,38,3,2
92,492,55,60,0,540,0,0,0,0,0,20,190,0,0,0,0,53,0.0,40,17.3075,2003,43,1,-1,29,1,1
94,515,370,100,30,45,0,0,0,0,0,10,345,0,0,0,5,20,0.0,55,9.44054545455,2003,43,2,-1,32,1,2
95,420,83,0,0,592,0,0,0,0,0,50,215,0,0,0,0,80,0.0,60,15.064,2003,46,1,-1,65,1,1
96,492,116,63,0,487,0,3,0,0,0,5,233,0,0,0,0,41,0.0,45,10.8444444444,2003,39,2,-1,36,1,2
101,500,17,55,0,458,0,0,0,0,0,89,170,45,0,0,0,102,0.0,38,11.5,2003,40,2,-1,61,3,1
102,500,310,90,0,240,0,0,0,0,0,20,280,0,0,0,0,0,0.0,40,8.65375,2003,41,2,-1,46,1,2
104,380,0,0,0,565,0,0,0,0,0,105,195,30,0,0,0,165,0.0,40,61.77,2003,44,2,-1,56,1,0
116,600,0,5,0,413,0,60,100,0,0,45,130,0,0,0,0,87,0.0,43,23.52,2003,43,2,-1,36,3,1
117,440,180,35,0,525,0,60,0,0,0,50,55,0,0,0,15,80,0.0,45,15.5555555556,2003,42,2,-1,51,2,1
122,476,405,0,15,150,0,0,0,0,0,45,154,75,0,0,0,120,0.0,35,49.8337142857,2003,44,2,-1,57,1,0
125,430,0,0,180,440,0,0,0,0,0,75,210,0,0,0,0,105,0.0,40,15.0,2003,39,1,-1,28,2,0
126,279,80,0,28,740,0,0,0,0,0,0,201,20,0,0,0,72,0.0,112,7.38321428571,2003,43,2,-1,36,3,0
128,480,25,2,0,460,0,15,0,0,0,70,287,0,0,0,0,71,0.0,40,13.7,2003,41,1,-1,46,1,1
137,530,0,31,0,509,0,0,0,0,0,90,225,0,0,0,0,55,0.0,40,16.7,2003,40,1,-1,39,1,3
139,585,50,0,0,465,0,0,0,0,0,50,225,45,0,0,0,20,0.0,40,15.575,2003,39,2,-1,48,3,0
149,345,0,0,0,503,0,50,0,0,0,80,412,0,0,0,0,50,0.0,45,22.2222222222,2003,46,1,-1,34,3,0
153,270,0,0,0,480,0,0,0,0,0,75,575,0,0,0,0,40,0.0,40,13.75,2003,39,1,-1,56,1,0
156,420,55,55,0,380,0,60,0,0,0,135,152,50,0,0,30,103,0.0,35,21.978,2003,43,1,-1,30,1,1
157,485,0,45,0,460,0,0,0,0,0,85,235,0,0,0,0,130,0.0,40,21.625,2003,43,1,-1,42,1,2
158,510,30,0,0,438,0,0,0,0,0,105,140,0,0,0,0,217,0.0,35,17.1428571429,2003,39,1,-1,38,1,3
167,500,35,110,0,474,0,0,0,0,0,40,140,0,0,0,0,141,0.0,45,11.1111111111,2003,40,2,-1,43,3,1
171,480,60,15,0,565,0,0,0,0,0,30,30,190,0,0,0,70,0.0,60,13.846,2003,43,2,-1,39,1,2
177,595,0,0,0,450,0,20,0,0,0,105,120,0,0,0,0,150,0.0,37,11.75,2003,37,1,-1,68,1,0
180,580,0,0,0,715,0,0,0,0,0,105,20,0,0,0,0,20,0.0,40,26.25,2003,43,2,-1,39,1,0
181,575,0,0,0,535,0,0,0,0,0,70,180,0,0,0,0,80,0.0,50,16.8,2003,40,1,-1,29,1,3
183,540,120,0,0,503,0,0,0,0,0,45,120,20,0,0,30,62,0.0,45,12.3075555556,2003,46,1,-1,47,3,2
184,520,85,96,0,487,0,0,0,0,0,55,140,0,0,0,0,57,0.0,40,5.625,2003,43,2,-1,45,1,2
186,525,90,0,0,495,0,0,0,0,0,90,180,0,0,0,0,60,0.0,45,16.4622222222,2003,39,1,-1,40,1,0
194,388,10,0,0,725,0,0,0,0,0,10,290,0,0,0,0,17,0.0,36,28.7,2003,43,2,-1,43,1,0
195,370,75,0,0,470,0,0,0,0,0,45,435,0,0,0,0,45,0.0,40,11.85,2003,35,1,-1,66,3,0
196,567,0,0,0,829,0,0,0,0,0,0,35,0,0,0,0,9,0.0,60,5.34416666667,2003,39,1,-1,40,3,0
198,500,15,0,0,555,240,0,0,0,0,75,0,0,0,0,0,55,0.0,48,30.3685416667,2003,43,1,-1,52,3,0
201,250,175,20,0,551,0,5,50,0,0,110,186,30,0,0,0,63,0.0,45,64.1024444444,2003,45,1,-1,38,1,1
202,345,0,0,0,570,0,0,5,0,0,95,100,230,0,0,0,95,0.0,40,13.044,2003,42,1,-1,47,1,0
211,544,69,2,0,480,0,25,0,0,0,110,80,0,0,0,0,130,0.0,40,14.0,2003,40,2,-1,41,1,2
212,590,55,0,0,435,0,0,0,0,0,55,135,110,0,0,0,60,0.0,40,72.11525,2003,40,2,-1,52,3,0
214,540,15,0,0,480,0,0,0,45,0,20,160,0,0,0,0,180,0.0,40,17.78825,2003,44,2,-1,53,3,0
215,520,165,0,0,485,0,0,0,0,0,105,120,0,0,0,0,45,0.0,40,13.0,2003,39,2,-1,65,1,0
218,335,62,135,0,360,0,5,0,0,0,245,230,0,0,0,0,68,0.0,40,18.75,2003,44,1,-1,38,1,1
220,510,0,59,0,570,0,0,0,0,0,75,116,40,0,0,0,70,0.0,50,32.6922,2003,43,1,-1,58,1,0
221,475,55,0,0,491,0,0,0,0,0,155,180,0,0,0,5,79,0.0,40,3.5,2003,35,2,-1,67,3,0
222,441,0,70,0,572,0,6,0,0,0,75,80,123,0,0,0,73,0.0,62,31.0172580645,2003,44,2,-1,34,1,1
223,590,16,55,0,575,0,0,0,0,0,30,144,0,0,0,0,30,0.0,40,10.375,2003,39,2,-1,24,1,1
230,500,0,0,0,550,0,0,0,0,0,25,180,0,0,0,0,185,0.0,85,14.1176470588,2003,39,1,-1,31,1,2
235,510,0,0,0,475,0,60,10,0,0,60,255,0,0,0,0,70,0.0,40,12.98075,2003,39,1,-1,26,3,0
236,495,30,55,0,485,0,3,0,0,0,60,245,0,0,0,0,67,0.0,40,11.0,2003,38,1,-1,28,3,1
239,450,2,20,0,263,0,255,0,0,0,90,117,0,0,0,0,243,0.0,40,8.0,2003,40,2,-1,29,2,1
252,355,140,0,0,515,0,0,0,0,0,125,250,0,0,0,0,55,0.0,40,25.0,2003,38,1,-1,42,1,4
261,500,115,0,0,620,0,0,0,0,0,0,60,25,0,0,0,120,0.0,40,20.0,2003,43,2,-1,55,3,0
264,585,160,0,0,110,0,0,0,0,0,70,480,0,0,0,0,35,0.0,40,22.5,2003,43,1,-1,49,1,1
270,470,10,0,0,595,0,0,0,0,0,35,135,45,75,0,0,75,0.0,40,18.0,2003,33,1,-1,51,1,1
273,465,0,0,0,475,0,40,0,0,0,95,230,0,0,0,0,135,0.0,40,18.75,2003,44,1,-1,49,1,1
275,480,130,0,35,390,0,15,90,0,0,55,120,0,0,0,0,110,0.0,40,18.125,2003,44,2,-1,48,3,0
277,630,250,0,0,120,0,120,0,0,0,20,270,0,0,0,0,30,0.0,60,17.6281666667,2003,42,2,-1,51,3,0
286,330,30,0,0,435,0,80,0,0,0,60,380,0,0,0,0,125,0.0,60,12.8205,2003,43,1,-1,34,1,1
293,690,30,0,0,420,0,0,0,0,0,30,180,0,0,0,0,90,0.0,38,10.5263157895,2003,43,2,-1,71,3,2
296,570,0,20,0,210,0,10,0,0,0,300,195,0,0,0,0,135,0.0,40,12.40375,2003,40,2,-1,34,3,1
297,545,0,0,0,515,0,0,0,0,0,0,340,0,0,0,0,40,0.0,40,9.8075,2003,39,2,-1,31,3,0
299,485,30,10,0,496,0,5,0,0,0,30,140,20,0,120,0,104,0.0,45,13.4613333333,2003,43,1,-1,43,1,2
301,426,60,180,0,614,0,0,0,0,0,0,80,0,0,0,0,80,0.0,55,17.2727272727,2003,35,1,-1,32,1,1
302,440,45,0,0,475,0,0,0,0,0,45,270,45,0,60,10,50,0.0,41,21.5758536585,2003,44,2,-1,50,3,0
308,475,446,30,0,150,0,10,0,0,0,15,259,0,0,0,0,55,0.0,36,9.66666666667,2003,39,2,-1,38,3,2
309,635,80,0,20,480,0,5,0,0,0,25,139,0,5,0,0,51,0.0,40,14.8345,2003,40,2,-1,30,3,0
310,475,165,74,0,470,0,0,0,0,0,36,45,0,0,0,0,175,0.0,40,5.15,2003,37,2,-1,42,3,1
311,585,60,0,0,495,0,0,0,0,0,75,195,0,0,0,0,30,0.0,40,9.1345,2003,38,2,-1,36,3,0
315,537,60,0,0,477,0,0,0,0,0,75,145,0,0,0,60,86,0.0,40,19.23075,2003,40,2,-1,55,3,0
316,665,0,0,0,580,0,10,0,0,0,20,0,0,0,0,0,165,0.0,70,6.5,2003,39,1,-1,31,2,3
318,435,0,180,0,440,0,0,0,0,0,120,120,15,40,0,0,90,0.0,37,43.6589189189,2003,44,1,-1,37,1,2
323,520,15,85,0,510,0,5,0,0,0,60,145,0,0,0,0,100,0.0,40,37.5,2003,40,1,-1,35,3,2
324,420,60,180,0,490,0,0,0,0,0,60,120,0,0,0,0,20,0.0,40,14.0,2003,43,2,-1,42,3,2
329,410,0,17,0,600,0,0,0,0,0,60,193,0,10,0,0,150,0.0,45,15.3333333333,2003,39,1,-1,38,1,2
330,285,45,195,0,563,0,0,0,0,0,15,225,45,0,0,0,67,0.0,45,11.7333333333,2003,39,1,-1,34,1,1
334,695,0,60,0,470,0,20,0,0,0,0,145,0,0,0,0,50,0.0,45,9.77777777778,2003,38,1,-1,32,1,1
337,430,10,5,0,550,0,14,0,0,0,70,305,0,0,0,0,56,0.0,55,15.7341818182,2003,39,1,-1,45,1,0
342,395,35,0,20,290,0,0,0,0,0,120,355,0,0,0,0,225,0.0,45,15.5555555556,2003,43,1,-1,25,3,0
343,615,5,2,0,588,0,0,0,0,0,90,120,0,0,0,0,20,0.0,45,23.0768888889,2003,44,1,-1,46,1,0
344,465,0,0,0,465,0,0,0,0,0,65,315,0,0,0,95,35,0.0,40,21.6345,2003,41,2,-1,33,1,1
346,330,30,0,0,620,0,90,0,75,0,60,90,0,0,0,15,130,0.0,50,13.46,2003,46,2,-1,55,3,0
352,405,120,0,0,840,0,0,0,0,0,15,0,0,0,0,0,60,0.0,60,31.4101666667,2003,41,1,-1,30,3,0
354,396,52,3,0,867,0,0,0,0,0,55,40,0,0,0,0,27,0.0,65,13.3135384615,2003,39,1,-1,48,1,1
364,510,0,195,0,385,0,30,10,0,0,35,70,0,0,0,0,205,0.0,40,36.0,2003,42,1,-1,31,2,4
365,540,150,0,0,540,0,0,0,0,0,0,0,0,0,0,0,60,0.0,40,14.2,2003,39,2,-1,42,1,1
374,435,150,2,0,583,0,0,0,0,0,60,60,60,0,0,0,90,0.0,45,23.0768888889,2003,43,1,-1,56,1,2
378,470,40,20,0,460,0,145,0,0,0,15,140,0,0,0,0,150,0.0,47,17.0127659574,2003,42,1,-1,40,1,2
379,610,155,12,0,285,0,30,0,0,0,130,140,0,0,0,0,78,0.0,72,8.08333333333,2003,39,2,-1,54,1,1
381,630,0,0,1,458,0,0,0,0,0,105,125,45,0,0,0,76,0.0,40,6.175,2003,39,1,-1,19,3,1
382,705,0,0,0,580,0,0,0,0,0,80,40,0,0,0,0,35,0.0,40,13.0,2003,40,2,-1,44,3,0
388,510,260,60,20,260,0,0,0,0,0,70,105,0,0,0,0,90,0.0,40,8.0,2003,34,2,-1,35,1,2
389,540,10,0,0,625,0,0,0,0,0,75,120,0,0,0,0,70,0.0,50,15.25,2003,39,1,-1,34,1,1
392,645,70,60,0,415,0,0,0,0,0,40,150,0,0,0,0,60,0.0,40,9.5,2003,41,2,-1,26,1,2
393,410,147,0,0,475,0,0,0,0,0,90,163,0,0,0,0,155,0.0,40,22.5,2003,41,1,-1,54,3,0
395,570,75,0,0,535,0,0,0,0,0,15,125,75,0,0,0,45,0.0,45,8.88888888889,2003,40,2,-1,23,2,0
397,495,75,15,0,480,0,60,0,0,0,90,90,0,0,0,0,135,0.0,40,32.25,2003,42,1,-1,50,3,0
398,810,205,0,0,10,0,30,1,0,0,45,314,0,0,0,0,25,0.0,50,30.7692,2003,43,2,-1,29,3,0
404,455,105,0,0,415,0,0,0,0,0,30,240,72,0,0,10,100,0.0,40,25.0,2003,44,2,-1,27,1,0
405,545,95,15,0,560,0,0,0,0,0,60,105,0,0,0,0,60,0.0,45,26.9228888889,2003,43,2,-1,43,1,1
408,507,30,195,0,20,0,30,0,0,0,175,300,60,0,0,0,123,0.0,40,25.0,2003,44,1,-1,38,1,2
409,510,0,0,0,120,0,90,0,0,0,120,490,0,0,0,0,110,0.0,50,26.923,2003,44,1,-1,29,1,0
410,440,43,160,0,515,0,67,25,0,0,38,35,0,0,0,0,77,0.0,40,9.5,2003,39,2,-1,35,1,3
412,548,45,50,0,400,0,55,0,0,0,50,55,45,0,0,0,147,0.0,37,31.1848648649,2003,44,1,-1,44,1,2
416,510,0,0,0,516,0,0,0,0,0,15,395,0,0,0,0,4,0.0,40,20.0,2003,40,1,-1,34,1,2
417,840,0,0,0,395,0,0,0,0,0,45,10,0,0,0,0,150,0.0,35,39.0,2003,40,1,-1,52,2,1
422,495,45,90,0,485,0,0,0,0,0,50,155,0,0,0,0,70,0.0,40,8.0,2003,39,2,-1,39,1,2
425,450,90,0,0,795,0,0,0,0,0,105,0,0,0,0,0,0,0.0,92,10.0333695652,2003,43,1,-1,28,1,1
427,427,0,0,0,652,0,0,0,0,0,70,210,0,0,0,0,81,0.0,55,17.4272727273,2003,40,1,-1,60,1,0
430,490,0,300,0,545,0,0,0,0,0,30,15,0,0,0,0,60,0.0,40,9.5,2003,39,1,-1,24,2,2
431,600,465,0,0,75,0,0,0,0,0,135,135,0,0,0,0,30,0.0,47,3.92787234043,2003,40,2,-1,52,1,0
432,405,20,50,0,487,0,70,0,0,0,90,220,0,0,0,0,98,0.0,40,12.0,2003,37,1,-1,30,1,1
434,530,50,0,0,500,0,80,0,0,0,10,188,0,0,0,0,82,0.0,56,15.0885714286,2003,40,1,-1,31,3,0
438,870,0,0,0,328,0,0,0,0,0,0,240,0,0,0,0,2,0.0,40,10.0,2003,36,2,-1,56,3,0
439,552,0,165,0,555,0,30,0,0,0,0,0,60,0,0,0,78,0.0,40,22.1,2003,43,2,-1,38,1,3
443,540,102,0,0,510,0,0,0,0,0,90,165,0,0,0,0,33,0.0,40,7.2115,2003,39,2,-1,43,1,1
446,440,135,45,0,728,0,0,0,2,0,50,0,0,0,0,0,40,0.0,50,42.3076,2003,45,1,-1,37,1,1
450,592,69,0,0,493,0,3,35,0,0,30,180,0,15,0,0,23,0.0,35,6.5,2003,39,2,-1,57,1,0
452,450,0,0,0,420,0,0,0,0,0,30,0,0,0,0,0,540,0.0,40,23.5575,2003,42,1,-1,50,1,1
453,600,10,0,0,475,0,0,0,0,0,85,195,0,0,0,0,75,0.0,45,34.188,2003,44,2,-1,52,1,0
458,465,20,0,0,595,0,0,0,0,0,50,220,0,0,0,0,90,0.0,50,17.5,2003,41,1,-1,58,1,0
461,640,195,0,0,120,0,20,0,0,0,35,390,0,0,0,0,40,0.0,55,13.2865454545,2003,39,1,-1,41,1,1
462,480,330,60,0,90,0,0,0,0,0,135,255,0,0,0,0,30,0.0,60,17.8108333333,2003,43,1,-1,48,1,1
465,525,0,235,0,448,0,0,0,0,0,50,28,0,0,100,0,54,0.0,47,38.2978723404,2003,43,2,-1,36,1,2
467,825,0,0,0,405,0,20,80,0,0,0,45,0,0,0,0,65,0.0,72,7.74569444444,2003,40,2,-1,48,3,0
471,525,0,226,0,195,0,61,0,0,0,15,260,0,0,0,0,143,0.0,56,17.8571428571,2003,44,2,-1,31,1,3
472,505,0,0,0,790,0,0,0,0,0,85,0,0,5,0,0,55,0.0,65,16.2721538462,2003,43,2,-1,36,3,0
482,490,199,0,0,560,0,5,0,0,0,20,95,0,0,0,0,71,0.0,40,17.0,2003,40,2,-1,57,3,0
483,295,0,85,0,550,0,20,0,0,0,0,385,0,0,0,0,105,0.0,47,12.274893617,2003,39,1,-1,36,1,2
484,550,60,120,0,541,0,10,0,0,0,30,90,0,0,0,0,39,0.0,40,25.0,2003,43,2,-1,31,1,1
490,510,0,0,0,480,0,0,0,0,0,0,420,0,0,0,0,30,0.0,40,25.9615,2003,39,1,-1,41,1,0
494,620,170,0,0,440,0,0,0,0,0,95,75,0,0,0,0,40,0.0,40,26.44225,2003,43,2,-1,64,1,0
496,505,20,180,0,525,0,10,0,0,0,75,30,0,0,0,0,95,0.0,45,36.752,2003,44,1,-1,43,1,1
501,600,0,0,0,465,0,0,0,0,0,65,20,150,0,0,0,105,0.0,50,11.5384,2003,40,1,-1,41,1,3
502,667,10,0,0,480,0,0,0,0,0,35,240,0,0,0,0,8,0.0,40,8.0,2003,40,2,-1,31,2,0
509,320,10,0,0,690,0,0,0,0,0,45,100,150,0,0,0,75,0.0,60,9.66666666667,2003,40,1,-1,41,3,0
511,650,155,50,0,20,0,40,118,0,0,0,125,0,0,0,10,252,0.0,40,6.0,2003,41,2,-1,43,1,1
513,398,60,0,0,455,0,35,15,0,0,110,322,0,0,0,2,43,0.0,40,9.1875,2003,37,1,-1,24,3,0
515,540,0,39,1,435,0,0,0,0,0,80,295,0,0,0,0,50,0.0,46,6.19565217391,2003,39,1,-1,25,1,2
520,500,15,0,0,495,0,5,0,0,0,30,355,0,0,0,0,40,0.0,40,12.0,2003,38,1,-1,39,1,0
523,615,70,0,0,510,0,0,115,0,0,25,30,0,0,0,20,55,0.0,40,41.6665,2003,46,2,-1,49,3,0
525,690,120,0,0,120,0,0,0,0,0,75,405,0,0,0,0,30,0.0,45,16.6666666667,2003,43,1,-1,25,3,0
526,538,10,0,3,452,0,10,0,0,0,95,145,0,0,0,0,172,0.0,40,10.0,2003,39,1,-1,33,3,0
539,255,241,6,0,270,0,0,0,0,0,125,234,0,210,0,10,74,0.0,40,17.56,2003,39,1,-1,49,1,1
540,545,0,0,0,745,0,0,0,0,0,10,0,0,0,0,0,140,0.0,40,12.5,2003,41,1,-1,35,3,2
542,435,0,0,0,800,0,5,0,0,0,0,0,0,0,0,0,200,0.0,70,17.1428571429,2003,41,1,-1,43,1,1
543,570,0,119,0,510,0,15,0,0,0,45,50,0,0,0,0,131,0.0,40,38.4615,2003,43,2,-1,39,1,1
549,665,105,0,0,370,0,0,0,0,0,40,260,0,0,0,0,0,0.0,36,2.75555555556,2003,39,2,-1,44,3,0
550,630,0,0,0,365,0,0,0,0,0,15,405,0,0,0,0,25,0.0,35,18.2857142857,2003,40,2,-1,23,1,1
563,500,90,0,165,365,0,0,0,0,0,35,260,0,0,0,0,25,0.0,40,17.5,2003,39,1,-1,52,1,0
564,455,20,67,0,680,0,0,0,0,0,40,150,0,0,0,0,28,0.0,55,16.3636363636,2003,43,2,-1,29,1,1
565,630,90,30,0,495,0,0,0,0,0,0,135,0,0,0,0,60,0.0,40,5.0,2003,39,2,-1,22,1,3
576,575,20,0,0,135,0,0,30,0,0,105,315,145,0,0,0,115,0.0,40,10.5,2003,40,2,-1,34,1,3
581,480,80,0,0,470,0,30,0,0,0,60,270,0,0,0,0,50,0.0,40,43.269,2003,43,2,-1,64,3,0
582,680,0,0,0,280,0,0,120,0,0,0,30,180,0,0,0,100,0.0,75,5.01866666667,2003,39,2,-1,22,3,4
589,660,30,0,0,315,0,160,0,0,0,50,60,40,0,0,0,125,0.0,35,9.14285714286,2003,43,1,-1,41,1,2
590,600,0,0,0,585,0,5,0,0,0,30,90,60,0,0,0,70,0.0,40,18.25,2003,43,1,-1,27,3,1
597,395,255,0,0,615,0,0,0,0,0,120,40,0,0,0,0,15,0.0,36,8.0,2003,36,2,-1,43,1,3
605,410,30,0,0,605,0,40,0,0,0,135,180,0,0,0,0,40,0.0,50,7.0,2003,40,2,-1,28,1,4
606,440,15,60,0,485,0,0,155,0,0,20,129,0,0,0,0,136,0.0,40,10.65,2003,39,1,-1,41,1,2
614,625,0,0,0,640,0,0,0,0,0,45,90,0,0,0,0,40,0.0,45,11.0666666667,2003,44,1,-1,28,1,1
618,675,0,0,0,525,0,10,0,0,0,30,0,0,90,0,20,90,0.0,40,10.0,2003,43,2,-1,35,3,0
620,405,50,0,0,510,0,0,0,0,0,110,140,0,0,0,0,225,0.0,48,28.8460416667,2003,43,1,-1,39,3,0
633,525,30,0,0,445,0,0,0,0,0,135,255,0,0,0,10,40,0.0,39,7.81205128205,2003,39,2,-1,48,3,0
634,495,120,0,0,400,0,60,0,0,0,165,160,0,0,0,0,40,0.0,40,16.82675,2003,43,2,-1,36,1,0
635,545,10,0,0,455,0,0,0,0,0,50,315,0,0,0,0,30,0.0,40,8.65375,2003,40,2,-1,38,3,0
643,480,25,106,0,450,0,0,0,0,0,15,150,0,0,0,0,214,0.0,50,57.6922,2003,44,1,-1,45,1,2
652,465,0,0,0,705,0,0,0,0,0,20,180,0,0,0,0,70,0.0,70,12.1428571429,2003,43,1,-1,24,1,0
653,363,185,0,0,489,0,10,0,0,0,45,260,0,0,0,15,73,0.0,38,12.5,2003,40,2,-1,21,3,0
678,600,0,70,0,465,0,60,0,5,0,90,30,0,0,0,0,120,0.0,40,31.25,2003,43,2,-1,43,1,1
681,535,0,0,0,490,0,40,0,0,0,175,70,0,0,0,0,130,0.0,50,44.2306,2003,44,1,-1,50,1,4
683,495,0,0,0,660,0,0,0,0,0,15,225,0,0,0,15,30,0.0,35,8.57142857143,2003,40,1,-1,30,3,0
684,360,60,0,0,575,0,0,0,0,0,55,320,0,0,0,0,70,0.0,55,20.0,2003,40,1,-1,49,1,0
